Feature,Target,Coefficient
base_experience,stat_tier,0.6393661450882179
base_stat_total,stat_tier,0.6364797364697329
genus,stat_tier,0.3742997743639428
offensive_total,stat_tier,0.33409997433423494
defensive_total,stat_tier,0.3196483104193051
capture_rate,stat_tier,0.27776401969978076
special_total,stat_tier,0.2554432941512096
physical_total,stat_tier,0.25415262341591893
hp,stat_tier,0.2218595967168369
height_m,stat_tier,0.2141784840193537
sp_defense,stat_tier,0.19677826045387153
attack,stat_tier,0.19336643134897336
sp_attack,stat_tier,0.18507188563394167
defense,stat_tier,0.1820190163623875
weight_kg,stat_tier,0.1794958193518348
ability_1,stat_tier,0.17649873237015581
hatch_counter,stat_tier,0.1561070411283971
ability_2,stat_tier,0.13958043077244212
is_legendary,stat_tier,0.13318086505854806
is_mythical,stat_tier,0.1269298659706389
hidden_ability,stat_tier,0.12155132619898351
base_happiness,stat_tier,0.12068695430033902
egg_groups,stat_tier,0.11882332941815614
gender_rate,stat_tier,0.11178375146868155
gender_distribution,stat_tier,0.11178375146868155
speed,stat_tier,0.10748766949878699
growth_rate,stat_tier,0.09584973606172052
is_baby,stat_tier,0.05964892365126724
habitat,stat_tier,0.05749426068554996
type_2,stat_tier,0.045667485596255074
bmi,stat_tier,0.04511043587635366
type_1,stat_tier,0.03991520340015828
shape,stat_tier,0.03257298788108275
attack_defense_ratio,stat_tier,0.02774779698821317
generation,stat_tier,0.024130884861512367
num_types,stat_tier,0.02086822231526037
is_dual_type,stat_tier,0.02086822231526037
color,stat_tier,0.009693543986583513
